Host Response Rate;Host Listings Count;Host Total Listings Count;Zipcode;Latitude;Longitude;Accommodates;Bathrooms;Bedrooms;Beds;Square Feet;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Calculated host listings count;Reviews per Month;Host Since in Days;First Review in Days;Entire home/apt;Private room;Shared room;Square Meters
100.0;2.0;2.0;28020.0;40.457201738886326;-3.696404491083469;2;1.0;1.0;2.0;;24.0;112.0;380.0;;;1;10;2;1125;0;0;6;281;7;97.0;10.0;10.0;10.0;10.0;10.0;10.0;2.0;0.59;398.0;335.0;0;1;0;
98.0;17.0;17.0;28013.0;40.41652150358205;-3.712796857521325;5;1.0;2.0;4.0;;130.0;650.0;2400.0;150.0;35.0;1;0;6;186;7;37;67;245;35;99.0;10.0;10.0;9.0;10.0;10.0;10.0;10.0;1.58;1329.0;539.0;1;0;0;
50.0;1.0;1.0;28010.0;40.43265269793876;-3.6993811960278986;2;1.0;1.0;1.0;;45.0;;;;;1;0;3;1125;29;59;89;89;0;;;;;;;;1.0;;787.0;;0;1;0;
100.0;9.0;9.0;28012.0;40.41562663102563;-3.704847321561467;2;2.0;1.0;1.0;;36.0;;;;10.0;1;0;1;10;4;23;49;316;46;90.0;9.0;9.0;9.0;9.0;10.0;9.0;9.0;5.45;2028.0;241.0;0;1;0;
100.0;3.0;3.0;28012.0;40.40960280780846;-3.69501806290754;2;1.0;1.0;1.0;;62.0;;;150.0;30.0;1;0;2;1125;17;47;77;167;0;;;;;;;;3.0;;779.0;;1;0;0;
90.0;1.0;1.0;28028.0;40.43215841106703;-3.669938576756148;3;1.0;1.0;1.0;;60.0;;;;;1;0;5;1125;6;11;41;316;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;0.33;116.0;0.0;1;0;0;
100.0;1.0;1.0;28027.0;40.43826698989808;-3.639539074340589;4;2.0;1.0;2.0;;44.0;245.0;980.0;120.0;;1;10;3;1125;3;12;25;270;103;97.0;10.0;10.0;10.0;10.0;9.0;10.0;1.0;4.76;1401.0;643.0;1;0;0;
100.0;5.0;5.0;28015.0;40.42301890459523;-3.707019876439088;2;1.0;1.0;1.0;;59.0;;;150.0;6.0;1;15;1;1125;27;57;87;362;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;5.0;0.09;787.0;0.0;0;1;0;
;1.0;1.0;28004.0;40.42326801821501;-3.703452262015738;3;1.0;1.0;2.0;;23.0;;;;;1;0;1;4;0;0;0;0;4;100.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;0.48;606.0;16.0;0;1;0;
98.0;13.0;13.0;28011.0;40.40887849248807;-3.741082963997591;2;1.0;1.0;2.0;;20.0;;;;10.0;1;7;1;1125;12;31;43;316;21;83.0;9.0;9.0;8.0;9.0;8.0;8.0;8.0;1.49;911.0;365.0;0;1;0;
67.0;1.0;1.0;;40.47077763072725;-3.688686727193646;1;1.0;1.0;1.0;;40.0;;;;;1;0;1;1125;25;55;85;85;0;;;;;;;;1.0;;233.0;;0;1;0;
;1.0;1.0;28045.0;40.39603450627983;-3.695360691775426;1;1.0;1.0;1.0;;20.0;;;;;1;0;1;1125;29;59;89;180;1;;;;;;;;1.0;0.17;181.0;0.0;0;1;0;
;1.0;1.0;28021.0;40.34959139423206;-3.678639623694329;1;1.0;1.0;1.0;;38.0;;;;;1;0;1;1125;30;60;90;365;0;;;;;;;;1.0;;408.0;;0;1;0;
;1.0;1.0;28015.0;40.432030984113645;-3.714930155632212;2;1.0;1.0;3.0;;39.0;;;;5.0;1;25;1;1125;0;0;0;125;17;96.0;10.0;9.0;10.0;10.0;10.0;9.0;1.0;1.3;709.0;173.0;0;1;0;
100.0;1.0;1.0;28012.0;40.409745729008606;-3.6983476500017662;4;1.0;1.0;2.0;;57.0;;1200.0;150.0;40.0;2;15;20;210;2;32;62;337;9;100.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;0.54;540.0;477.0;1;0;0;
100.0;4.0;4.0;28036.0;40.464062802759344;-3.6838231101031256;2;1.0;1.0;1.0;;80.0;;;;;1;0;2;1125;16;41;71;346;18;89.0;9.0;9.0;10.0;9.0;9.0;9.0;4.0;1.42;389.0;322.0;1;0;0;
81.0;1.0;1.0;28043.0;40.46235376462332;-3.658598578484576;4;1.0;2.0;3.0;;67.0;343.0;1190.0;;25.0;4;20;2;1125;6;23;30;283;25;95.0;10.0;9.0;10.0;10.0;9.0;9.0;1.0;1.41;623.0;478.0;1;0;0;
100.0;1.0;1.0;28045.0;40.39832278073945;-3.6987017918198815;2;1.0;1.0;1.0;;22.0;;;;;1;0;1;1125;0;0;0;91;0;;;;;;;;1.0;;1159.0;;0;1;0;
100.0;5.0;5.0;28014.0;40.41418738867367;-3.6951760141610186;2;1.0;0.0;1.0;;65.0;;;;;1;0;1;1125;1;3;6;216;205;94.0;10.0;10.0;10.0;10.0;10.0;9.0;5.0;11.87;852.0;512.0;1;0;0;
;1.0;1.0;28005.0;40.4125937203652;-3.716968879393989;2;1.0;1.0;1.0;;35.0;;;100.0;20.0;1;10;1;1125;29;59;89;364;2;80.0;10.0;6.0;10.0;10.0;8.0;6.0;1.0;0.19;1075.0;11.0;0;1;0;
;1.0;1.0;28027.0;40.4430770609677;-3.645262219880985;2;1.0;1.0;1.0;;60.0;600.0;1000.0;250.0;20.0;1;15;2;7;30;60;90;365;1;;;;;;;;1.0;0.04;1148.0;0.0;1;0;0;
100.0;4.0;4.0;28037.0;40.44012536879486;-3.624866678669721;3;1.0;0.0;1.0;;43.0;;860.0;300.0;40.0;2;10;5;1125;4;4;15;106;5;92.0;10.0;10.0;10.0;10.0;9.0;10.0;2.0;0.37;511.0;241.0;1;0;0;
;1.0;1.0;28012.0;40.411769358122015;-3.700519998622112;2;1.5;1.0;1.0;;45.0;;;;;1;0;1;1125;0;0;0;0;1;100.0;8.0;10.0;10.0;10.0;10.0;10.0;1.0;0.06;921.0;0.0;0;1;0;
100.0;5.0;5.0;28034.0;40.48295475179497;-3.712022281623769;4;1.0;1.0;2.0;;59.0;;;550.0;19.0;3;8;1;1125;14;44;69;159;0;;;;;;;;1.0;;1019.0;;1;0;0;
100.0;3.0;3.0;28012.0;40.413337779271615;-3.702218942214056;4;1.0;1.0;2.0;;90.0;;2100.0;;;1;0;1;60;8;23;43;306;199;95.0;10.0;10.0;9.0;9.0;10.0;10.0;3.0;8.38;715.0;706.0;1;0;0;
100.0;2.0;2.0;28014.0;40.40822817051768;-3.687320922724373;5;1.0;2.0;2.0;;110.0;;;;20.0;1;0;2;1125;1;4;12;87;16;98.0;10.0;9.0;9.0;10.0;10.0;10.0;2.0;7.06;416.0;64.0;1;0;0;
100.0;2.0;2.0;28012.0;40.410555354671615;-3.701293240610774;4;1.0;1.0;2.0;;45.0;;1100.0;100.0;25.0;2;20;2;1125;6;14;30;304;40;92.0;10.0;10.0;10.0;10.0;9.0;9.0;2.0;2.49;1066.0;469.0;1;0;0;
;1.0;1.0;28043.0;40.46424165797921;-3.631162785844418;1;1.0;1.0;1.0;;20.0;;;;;1;0;1;1125;0;0;0;0;0;;;;;;;;1.0;;1703.0;;0;1;0;
100.0;2.0;2.0;28005.0;40.412028475410665;-3.715778795417614;3;1.0;1.0;1.0;;68.0;;;130.0;24.0;2;5;2;1125;10;25;46;113;20;83.0;9.0;9.0;9.0;10.0;9.0;8.0;2.0;2.12;319.0;276.0;1;0;0;
100.0;2.0;2.0;28012.0;40.41707378430285;-3.705272386381462;3;1.0;0.0;2.0;;82.0;;;;20.0;1;0;2;32;13;36;66;341;0;;;;;;;;2.0;;1031.0;;1;0;0;
75.0;1.0;1.0;28009.0;40.41577410492245;-3.675902707288031;2;1.0;1.0;1.0;;29.0;;;;;1;7;3;1125;8;38;68;68;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;0.29;625.0;84.0;0;1;0;
100.0;6.0;6.0;28013.0;40.41730948002312;-3.707302253516138;2;1.0;0.0;1.0;;39.0;;;;;1;0;2;365;1;9;21;99;8;90.0;10.0;10.0;10.0;10.0;10.0;10.0;6.0;2.02;132.0;116.0;1;0;0;
100.0;3.0;3.0;28010.0;40.43604391719478;-3.696642714955018;2;1.0;1.0;2.0;;25.0;;;;;1;10;2;1125;16;16;16;275;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;3.0;2.0;65.0;23.0;0;1;0;
100.0;1.0;1.0;28053.0;40.39118401606798;-3.64659330057953;1;1.0;1.0;1.0;;12.0;;;;;1;0;3;21;8;20;38;38;1;100.0;10.0;10.0;10.0;10.0;8.0;10.0;1.0;1.0;204.0;0.0;0;1;0;
96.0;39.0;39.0;28014.0;40.412143019757856;-3.6942149117334826;4;1.0;1.0;4.0;;89.0;;;;;1;0;1;1125;8;26;46;320;0;;;;;;;;29.0;;239.0;;1;0;0;
100.0;3.0;3.0;28012.0;40.41126542413903;-3.704240248370645;1;1.0;1.0;1.0;;35.0;;;;;1;0;1;12;20;45;71;71;177;94.0;10.0;10.0;10.0;10.0;9.0;10.0;2.0;4.93;1091.0;1045.0;0;1;0;
100.0;3.0;3.0;28012.0;40.41048622810066;-3.703196282624922;3;1.0;1.0;2.0;;52.0;;;;20.0;2;10;2;999;1;5;10;261;35;95.0;10.0;10.0;10.0;10.0;10.0;10.0;3.0;5.47;1657.0;190.0;1;0;0;
100.0;1.0;1.0;28004.0;40.42231852103792;-3.706111751599317;1;1.0;1.0;1.0;;25.0;;;;10.0;1;0;1;1125;21;51;81;81;0;;;;;;;;1.0;;666.0;;0;1;0;
75.0;2.0;2.0;28034.0;40.48351301203376;-3.70675461777988;2;1.0;1.0;1.0;;50.0;250.0;;300.0;;2;10;1;30;30;60;60;155;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;0.06;577.0;0.0;0;1;0;
100.0;1.0;1.0;28010.0;40.435349670427456;-3.701446961251552;7;2.0;3.0;5.0;;100.0;;;;25.0;1;0;1;150;4;6;23;100;7;97.0;10.0;9.0;10.0;10.0;10.0;10.0;1.0;1.22;198.0;138.0;1;0;0;
