bathrooms;bedrooms;accommodates;cleaning_fee;entire_home/apt;private_room;beds;guests_included;monthly_price;zipcode;security_deposit;longitude;latitude;host_since_in_days;weekly_price;availability_90;availability_60;host_total_listings_count;availability_365;availability_30;price
1.0;1.0;2.0;25.0;0.0;1.0;2.0;1.0;380.0;28020.0;107.8;-3.696404491083469;40.457201738886326;398.0;112.0;6.0;0.0;2.0;281.0;0.0;24.0
1.0;2.0;5.0;35.0;1.0;0.0;4.0;1.0;2400.0;28013.0;150.0;-3.712796857521325;40.41652150358205;1329.0;650.0;67.0;37.0;17.0;245.0;7.0;130.0
1.0;1.0;2.0;28.0;0.0;1.0;1.0;1.0;2767.9999999999995;28010.0;220.0;-3.6993811960278986;40.43265269793876;787.0;501.2000000000001;89.0;59.0;1.0;89.0;29.0;45.0
2.0;1.0;2.0;10.0;0.0;1.0;1.0;1.0;1065.2;28012.000000000004;180.0;-3.704847321561467;40.41562663102563;2028.0;434.0;49.00000000000001;23.0;9.0;316.0;4.0;36.0
1.0;1.0;2.0;30.0;1.0;0.0;1.0;1.0;1608.0000000000002;28012.000000000004;150.0;-3.69501806290754;40.40960280780846;779.0;244.0;77.0;47.0;3.0000000000000004;167.0;17.0;62.0
1.0;1.0;3.0;28.0;1.0;0.0;1.0;1.0;1536.0;28028.0;139.2;-3.669938576756148;40.43215841106703;116.0;313.0;41.0;11.0;1.0;316.0;6.0;60.0
2.0;1.0;4.0;23.6;1.0;0.0;2.0;1.0;980.0;28027.0;120.0;-3.639539074340589;40.43826698989808;1401.0;245.0;25.0;12.0;1.0;270.0;3.0;44.0
1.0;1.0;2.0;6.0;0.0;1.0;1.0;1.0;1630.0;28015.0;150.0;-3.707019876439088;40.42301890459523;787.0;343.0;87.0;57.0;5.0;362.0;27.0;59.00000000000001
1.0;1.0;3.0;50.0;0.0;1.0;2.0;1.0;1822.2;28004.000000000004;245.0;-3.703452262015738;40.42326801821501;606.0;354.00000000000006;0.0;0.0;1.0;0.0;0.0;23.0
1.0;1.0;2.0;10.0;0.0;1.0;2.0;1.0;1107.2;28011.0;180.0;-3.741082963997591;40.40887849248807;911.0;406.4;43.0;31.0;13.0;316.0;12.0;20.0
1.0;1.0;1.0;25.000000000000004;0.0;1.0;1.0;1.0;1481.0;28013.078520122013;178.0;-3.688686727193646;40.47077763072725;233.0;318.0;85.0;55.0;1.0;85.0;25.0;40.0
1.0;1.0;1.0;20.0;0.0;1.0;1.0;1.0;1055.2;28045.0;148.0;-3.695360691775426;40.39603450627983;181.0;236.00000000000003;89.0;59.0;1.0;180.0;29.0;20.0
1.0;1.0;1.0;13.000000000000002;0.0;1.0;1.0;1.0;1245.0000000000002;28021.0;186.0;-3.678639623694329;40.34959139423206;408.0;291.0;90.0;60.0;1.0;365.0;30.0;38.0
1.0;1.0;2.0;5.0;0.0;1.0;3.0;1.0;1046.0;28015.0;179.99999999999997;-3.714930155632212;40.432030984113645;709.0;465.00000000000006;0.0;0.0;1.0;125.0;0.0;39.0
1.0;1.0;4.0;40.0;1.0;0.0;2.0;2.0;1200.0;28012.000000000004;150.0;-3.6983476500017662;40.409745729008606;540.0;388.6;62.0;32.0;1.0;337.0;2.0;57.00000000000001
1.0;1.0;2.0;24.8;1.0;0.0;1.0;1.0;1220.0;28036.0;170.0;-3.6838231101031256;40.464062802759344;389.0;323.19999999999993;71.0;41.0;4.0;346.0;16.0;80.00000000000001
1.0;2.0;4.0;25.0;1.0;0.0;3.0;4.0;1190.0;28043.0;150.0;-3.658598578484576;40.46235376462332;623.0;343.0;30.000000000000004;23.0;1.0;283.0;6.0;67.00000000000001
1.0;1.0;2.0;11.8;0.0;1.0;1.0;1.0;700.0000000000001;28045.0;180.0;-3.6987017918198815;40.39832278073945;1159.0;208.0;0.0;0.0;1.0;91.0;0.0;22.0
1.0;0.0;2.0;20.0;1.0;0.0;1.0;1.0;1804.0;28014.0;143.99999999999997;-3.6951760141610186;40.41418738867367;851.9999999999999;513.0000000000001;6.0;3.0;5.0;216.0;1.0;65.00000000000001
1.0;1.0;2.0;20.0;0.0;1.0;1.0;1.0;1795.9999999999998;28005.0;100.0;-3.716968879393989;40.4125937203652;1075.0;455.0;89.0;59.0;1.0;364.0;29.0;35.0
1.0;1.0;2.0;20.0;1.0;0.0;1.0;1.0;1000.0;28027.0;250.0;-3.645262219880985;40.4430770609677;1148.0;600.0;90.0;60.0;1.0;365.0;30.0;60.0
